sentence,category,sentiment,predicted AS,search term
We,,,,cogent communications
NetNeutrality,,,,cogent communications
no blocking,,,,cogent communications
throttling,,,,cogent communications
traffic,,,,cogent communications
traffic,,,,cogent communications
all lawful content,,,,cogent communications
the Internet,,,,cogent communications
free flowing interconnection,,,,cogent communications
Internet providers,,,,cogent communications
Cogent practices,,,,cogent communications
NetNeutrality,,,,cogent communications
We,,,,cogent communications
packet transmissions,,,,cogent communications
the basis,,,,cogent communications
the content,,,,cogent communications
the packet,,,,cogent communications
the customer,,,,cogent communications
network,,,,cogent communications
the source,,,,cogent communications
the packet,,,,cogent communications
the customer,,,,cogent communications
network,,,,cogent communications
the recipient,,,,cogent communications
the packet,,,,cogent communications
December 1st,,,,cogent communications
Cogent's Schaeffer,,,,cogent communications
NetNeutrality turnback,,,,cogent communications
interconnection agreements,,,,cogent communications
AT&T Charter others,,,,cogent communications
Cogent,,,,cogent communications
a company,,,,cogent communications
whose spats,,,,cogent communications
ISPs,,,,cogent communications
traffic,,,,cogent communications
stuff,,,,cogent communications
legend,,,,cogent communications
the telecom industry,,,,cogent communications
the FCC,,,,cogent communications
the 2015 NetNeutrality order,,,,cogent communications
a mistake,,,,cogent communications
It,,,,cogent communications
almost a certainty,,,,cogent communications
a 3-2 vote,,,,cogent communications
the FCC,,,,cogent communications
the principles,,,,cogent communications
NetNeutrality,,,,cogent communications
internet service providers,,,,cogent communications
information services,,,,cogent communications
communications services,,,,cogent communications
Cogent’s Netcentric business growth,,,,cogent communications
risk,,,,cogent communications
NetNeutrality changes,,,,cogent communications
analyst,,,,cogent communications
Cogent,,,,cogent communications
fiber and IP transit services,,,,cogent communications
ISPs,,,,cogent communications
content providers,,,,cogent communications
Netflix,,,,cogent communications
the current NetNeutrality rules,,,,cogent communications
battles,,,,cogent communications
eight service providers,,,,cogent communications
their interconnection points,,,,cogent communications
The regulatory oversight,,,,cogent communications
place,,,,cogent communications
June,,,,cogent communications
us,,,,cogent communications
it,,,,cogent communications
us,,,,cogent communications
a group,,,,cogent communications
8 ISPs,,,,cogent communications
who,,,,cogent communications
their customers’ connectivity,,,,cogent communications
the internet,,,,cogent communications
the upgrade,,,,cogent communications
the interconnection points,,,,cogent communications
Schaeffer,,,,cogent communications
Cogent,,,,cogent communications
overall traffic,,,,cogent communications
its Netcentric business,,,,cogent communications
connectivity,,,,cogent communications
content providers,,,,cogent communications
other wholesale customers,,,,cogent communications
potential changes,,,,cogent communications
NetNeutrality rules,,,,cogent communications
headwinds,,,,cogent communications
the near term,,,,cogent communications
Wells Fargo,,,,cogent communications
a recent research note,,,,cogent communications
Netcentric,,,,cogent communications
FCC Chairman Ajit Pai’s commitment,,,,cogent communications
NetNeutrality rules,,,,cogent communications
content provider customers,,,,cogent communications
new products,,,,cogent communications
some recent trends,,,,cogent communications
it,,,,cogent communications
we,,,,cogent communications
the regulatory uncertainty,,,,cogent communications
NetNeutrality/TitleII,,,,cogent communications
new application development,,,,cogent communications
its content customers,,,,cogent communications
Cogent’s Schaeffer,,,,cogent communications
NetCentric customers,,,,cogent communications
NetNeutrality concerns,,,,cogent communications
The FCC,,,,cogent communications
the first disputes,,,,cogent communications
its new NetNeutrality regulations,,,,cogent communications
a fight,,,,cogent communications
Internet congestion,,,,cogent communications
online video,,,,cogent communications
NetNeutrality,,,,cogent communications
the principle,,,,cogent communications
Internet providers,,,,cogent communications
traffic,,,,cogent communications
it,,,,cogent communications
their networks,,,,cogent communications
Netflix Cogent,,,,cogent communications
Level,,,,cogent communications
the FCC,,,,cogent communications
the interconnection issue,,,,cogent communications
part,,,,cogent communications
its NetNeutrality rules,,,,cogent communications
The FCC,,,,cogent communications
interconnection,,,,cogent communications
the core,,,,cogent communications
the regulations,,,,cogent communications
providers,,,,cogent communications
content,,,,cogent communications
traffic,,,,cogent communications
"special ""fast lanes",,,,cogent communications
sites,,,,cogent communications
Matt Wood,,,,cogent communications
the policy director,,,,cogent communications
Free Press,,,,cogent communications
an advocacy group,,,,cogent communications
strong NetNeutrality regulations,,,,cogent communications
the FCC,,,,cogent communications
the complaints,,,,cogent communications
the exact circumstances,,,,cogent communications
each case,,,,cogent communications
it,,,,cogent communications
a 'NetNeutrality' argument,,,,cogent communications
Numerous factors,,,,cogent communications
such differences,,,,cogent communications
others,,,,cogent communications
future economic instability,,,,cogent communications
the global economy,,,,cogent communications
Internet services,,,,cogent communications
the impact,,,,cogent communications
foreign exchange rates,,,,cogent communications
US dollar and Canadian dollar,,,,cogent communications
US dollar exchange rates,,,,cogent communications
the translation,,,,cogent communications
Cogent Communications’ non-US dollar,,,,cogent communications
revenues expenses assets,,,,cogent communications
liabilities,,,,cogent communications
legal and operational difficulties,,,,cogent communications
new markets,,,,cogent communications
the imposition,,,,cogent communications
a requirement,,,,cogent communications
we,,,,cogent communications
the United States Universal Service Fund,,,,cogent communications
the basis,,,,cogent communications
Cogent Communications’ Internet revenue,,,,cogent communications
changes,,,,cogent communications
government policy,,,,cogent communications
regulation,,,,cogent communications
rules,,,,cogent communications
data protection cyber security,,,,cogent communications
NetNeutrality,,,,cogent communications
competition,,,,cogent communications
lower prices,,,,cogent communications
Cogent Communications’ services,,,,cogent communications
; Cogent Communications’ ability,,,,cogent communications
new customers,,,,cogent communications
the volume,,,,cogent communications
traffic,,,,cogent communications
its network,,,,cogent communications
the ability,,,,cogent communications
Cogent Communications’ Internet peering arrangements,,,,cogent communications
favorable terms,,,,cogent communications
its long-term leases,,,,cogent communications
optical fiber,,,,cogent communications
its network,,,,cogent communications
an equipment vendor Cisco Systems Inc.,,,,cogent communications
the potential,,,,cogent communications
hardware or software problems,,,,cogent communications
such equipment,,,,cogent communications
the dependence,,,,cogent communications
Cogent Communications’ network,,,,cogent communications
the quality,,,,cogent communications
dependability,,,,cogent communications
third-party fiber providers,,,,cogent communications
; Cogent Communications’ ability,,,,cogent communications
certain customers,,,,cogent communications
a significant portion,,,,cogent communications
its revenue base,,,,cogent communications
the management,,,,cogent communications
network failures,,,,cogent communications
disruptions,,,,cogent communications
outcomes,,,,cogent communications
litigation,,,,cogent communications
risks,,,,cogent communications
the offering,,,,cogent communications
the Notes,,,,cogent communications
such transaction,,,,cogent communications
time,,,,cogent communications
time,,,,cogent communications
Cogent Communications’ filings,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
limitation Cogent Communications’ Annual Report,,,,cogent communications
Form,,,,cogent communications
the fiscal year,,,,cogent communications
Cogent Communications’ Quarterly Report,,,,cogent communications
Form,,,,cogent communications
the quarter,,,,cogent communications
 Fees,,,,cogent communications
– NetNeutrality,,,,cogent communications
Carrier neutral data center buildings,,,,cogent communications
Numerous factors,,,,cogent communications
such differences,,,,cogent communications
future economic instability,,,,cogent communications
the global economy,,,,cogent communications
a contraction,,,,cogent communications
the capital markets,,,,cogent communications
spending,,,,cogent communications
Internet services,,,,cogent communications
our ability,,,,cogent communications
financing activities,,,,cogent communications
the impact,,,,cogent communications
foreign exchange rates,,,,cogent communications
USD and Canadian dollar,,,,cogent communications
USD exchange rates,,,,cogent communications
the translation,,,,cogent communications
our non-USD,,,,cogent communications
revenues expenses assets,,,,cogent communications
liabilities,,,,cogent communications
legal and operational difficulties,,,,cogent communications
new markets,,,,cogent communications
the imposition,,,,cogent communications
a requirement,,,,cogent communications
we,,,,cogent communications
the US Universal Service Fund,,,,cogent communications
the basis,,,,cogent communications
our Internet revenue,,,,cogent communications
changes,,,,cogent communications
government policy,,,,cogent communications
regulation,,,,cogent communications
NetNeutrality rules,,,,cogent communications
the United States FCC,,,,cogent communications
the area,,,,cogent communications
data protection,,,,cogent communications
competition,,,,cogent communications
lower prices,,,,cogent communications
our services,,,,cogent communications
our ability,,,,cogent communications
new customers,,,,cogent communications
the volume,,,,cogent communications
traffic,,,,cogent communications
our network,,,,cogent communications
the ability,,,,cogent communications
our Internet peering arrangements,,,,cogent communications
favorable terms,,,,cogent communications
our reliance,,,,cogent communications
an equipment vendor Cisco Systems Inc.,,,,cogent communications
the potential,,,,cogent communications
hardware or software problems,,,,cogent communications
such equipment,,,,cogent communications
the dependence,,,,cogent communications
our network,,,,cogent communications
the quality,,,,cogent communications
dependability,,,,cogent communications
third-party fiber providers,,,,cogent communications
our ability,,,,cogent communications
certain customers,,,,cogent communications
a significant portion,,,,cogent communications
our revenue base,,,,cogent communications
the management,,,,cogent communications
network failures,,,,cogent communications
disruptions,,,,cogent communications
outcomes,,,,cogent communications
litigation,,,,cogent communications
other risks,,,,cogent communications
time,,,,cogent communications
time,,,,cogent communications
our filings,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
limitation,,,,cogent communications
our report,,,,cogent communications
Form,,,,cogent communications
the quarter,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
Numerous factors,,,,cogent communications
such differences,,,,cogent communications
future economic instability,,,,cogent communications
the global economy,,,,cogent communications
a contraction,,,,cogent communications
the capital markets,,,,cogent communications
spending,,,,cogent communications
Internet services,,,,cogent communications
our ability,,,,cogent communications
financing activities,,,,cogent communications
the impact,,,,cogent communications
foreign exchange rates,,,,cogent communications
USD and Canadian dollar,,,,cogent communications
USD exchange rates,,,,cogent communications
the translation,,,,cogent communications
our non-USD,,,,cogent communications
revenues expenses assets,,,,cogent communications
liabilities,,,,cogent communications
legal and operational difficulties,,,,cogent communications
new markets,,,,cogent communications
the imposition,,,,cogent communications
a requirement,,,,cogent communications
we,,,,cogent communications
the US Universal Service Fund,,,,cogent communications
the basis,,,,cogent communications
our Internet revenue,,,,cogent communications
changes,,,,cogent communications
government policy,,,,cogent communications
regulation,,,,cogent communications
NetNeutrality rules,,,,cogent communications
the United States FCC,,,,cogent communications
the area,,,,cogent communications
data protection,,,,cogent communications
competition,,,,cogent communications
lower prices,,,,cogent communications
our services,,,,cogent communications
our ability,,,,cogent communications
new customers,,,,cogent communications
the volume,,,,cogent communications
traffic,,,,cogent communications
our network,,,,cogent communications
the ability,,,,cogent communications
our Internet peering arrangements,,,,cogent communications
favorable terms,,,,cogent communications
our reliance,,,,cogent communications
an equipment vendor Cisco Systems Inc.,,,,cogent communications
the potential,,,,cogent communications
hardware or software problems,,,,cogent communications
such equipment,,,,cogent communications
the dependence,,,,cogent communications
our network,,,,cogent communications
the quality,,,,cogent communications
dependability,,,,cogent communications
third-party fiber providers,,,,cogent communications
our ability,,,,cogent communications
certain customers,,,,cogent communications
a significant portion,,,,cogent communications
our revenue base,,,,cogent communications
the management,,,,cogent communications
network failures,,,,cogent communications
disruptions,,,,cogent communications
outcomes,,,,cogent communications
litigation,,,,cogent communications
other risks,,,,cogent communications
time,,,,cogent communications
time,,,,cogent communications
our filings,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
limitation,,,,cogent communications
our report,,,,cogent communications
Form,,,,cogent communications
the year,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
your browser,,,,cogent communications
JavaScript,,,,cogent communications
cookies,,,,cogent communications
you,,,,cogent communications
them,,,,cogent communications
the NetNeutrality debate,,,,cogent communications
the stock price,,,,cogent communications
one keeper,,,,cogent communications
the pipes,,,,cogent communications
California's NetNeutrality law,,,,cogent communications
"""significant lost revenues",,,,cogent communications
the nation's largest cable company,,,,cogent communications
a court filing,,,,cogent communications
the news site,,,,cogent communications
TorrentFreak,,,,cogent communications
The Pirate Bay,,,,cogent communications
nearly 20 other torrent and pirate sites,,,,cogent communications
Cogent Communications,,,,cogent communications
an Internet backbone provider,,,,cogent communications
The block,,,,cogent communications
place,,,,cogent communications
more than a week,,,,cogent communications
The FCC's NetNeutrality rules,,,,cogent communications
effect,,,,cogent communications
they,,,,cogent communications
a noticeable impact,,,,cogent communications
the behavior,,,,cogent communications
Internet service providers,,,,cogent communications
Netflix,,,,cogent communications
it,,,,cogent communications
"""tolls",,,,cogent communications
Internet service providers,,,,cogent communications
a good experience,,,,cogent communications
its customers,,,,cogent communications
it,,,,cogent communications
the FCC,,,,cogent communications
NetNeutrality rules,,,,cogent communications
network,,,,cogent communications
The FCC,,,,cogent communications
what,,,,cogent communications
a slew,,,,cogent communications
NetNeutrality complaints,,,,cogent communications
an anticipated claim,,,,cogent communications
Cogent Communications,,,,cogent communications
Comcast,,,,cogent communications
NASDAQ,,,,cogent communications
CMCSA,,,,cogent communications
Time Warner Cable,,,,cogent communications
NYSE,,,,cogent communications
TWC,,,,cogent communications
AT&T,,,,cogent communications
NYSE,,,,cogent communications
T) Verizon,,,,cogent communications
NYSE,,,,cogent communications
VZ,,,,cogent communications
CenturyLink,,,,cogent communications
(NYSE,,,,cogent communications
CTL,,,,cogent communications
Internet traffic,,,,cogent communications
Related articles,,,,cogent communications
FCC,,,,cogent communications
NetNeutrality rules,,,,cogent communications
Federal Register,,,,cogent communications
stage,,,,cogent communications
telco industry challenges,,,,cogent communications
Verizon's McAdam,,,,cogent communications
Congress,,,,cogent communications
hard line,,,,cogent communications
spectrum bidding credits,,,,cogent communications
FCC's NetNeutrality rules,,,,cogent communications
NetNeutrality order industry preps lawsuits,,,,cogent communications
Its mission,,,,firstlight fiber
mobile voice/data broadband backhaul,,,,firstlight fiber
pervasive IoT connectivity infrastructure,,,,firstlight fiber
a neutral host model,,,,firstlight fiber
rural and developing communities,,,,firstlight fiber
the world,,,,firstlight fiber
example,,,,firstlight fiber
California,,,,firstlight fiber
an unserved household,,,,firstlight fiber
the purpose,,,,firstlight fiber
California Advanced Services Fund broadband grants,,,,firstlight fiber
no facility-based broadband provider,,,,firstlight fiber
service,,,,firstlight fiber
speeds,,,,firstlight fiber
at least 6 Mbps/1 Mbps.32 West Virginia,,,,firstlight fiber
an unserved area,,,,firstlight fiber
a community,,,,firstlight fiber
broadband access.33 States,,,,firstlight fiber
underserved areas,,,,firstlight fiber
investment,,,,firstlight fiber
unserved areas,,,,firstlight fiber
projects,,,,firstlight fiber
underserved areas,,,,firstlight fiber
the CBC,,,,firstlight fiber
a convener,,,,firstlight fiber
state agencies,,,,firstlight fiber
other partners,,,,firstlight fiber
it,,,,firstlight fiber
a clear mandate,,,,firstlight fiber
a result agencies,,,,firstlight fiber
participation,,,,firstlight fiber
leadership,,,,firstlight fiber
the CBC,,,,firstlight fiber
the California Department,,,,firstlight fiber
Technology,,,,firstlight fiber
the council's mission,,,,firstlight fiber
accountability,,,,firstlight fiber
member agencies.42 Stephanie Tom deputy director,,,,firstlight fiber
broadband and digital literacy,,,,firstlight fiber
council members' participation,,,,firstlight fiber
representatives,,,,firstlight fiber
their department,,,,firstlight fiber
agency,,,,firstlight fiber
meetings,,,,firstlight fiber
advocates,,,,firstlight fiber
their agencies,,,,firstlight fiber
broadband initiatives,,,,firstlight fiber
MacKenzie,,,,firstlight fiber
the office,,,,firstlight fiber
a single entity,,,,firstlight fiber
broadband policy,,,,firstlight fiber
people,,,,firstlight fiber
questions.68,,,,firstlight fiber
It,,,,firstlight fiber
a neutral source,,,,firstlight fiber
information,,,,firstlight fiber
communities,,,,firstlight fiber
broadband projects.69,,,,firstlight fiber
The technical assistance efforts,,,,firstlight fiber
use,,,,firstlight fiber
"a ""Community Broadband Planning Playbook",,,,firstlight fiber
partnership,,,,firstlight fiber
the Appalachian Regional Commission110,,,,firstlight fiber
practical information,,,,firstlight fiber
communities,,,,firstlight fiber
the process,,,,firstlight fiber
broadband service.111 Communities,,,,firstlight fiber
the technical assistance teams,,,,firstlight fiber
an important resource,,,,firstlight fiber
community needs,,,,firstlight fiber
necessary and neutral expertise.112,,,,firstlight fiber
You,,,,firstlight fiber
him,,,,firstlight fiber
his cellphone,,,,firstlight fiber
""" Sarah Thompson executive director",,,,firstlight fiber
the Southwestern Commission,,,,firstlight fiber
a regional council,,,,firstlight fiber
governments,,,,firstlight fiber
her region's technical assistance representative,,,,firstlight fiber
Grantees,,,,firstlight fiber
a 50 percent match,,,,firstlight fiber
networks,,,,firstlight fiber
open access,,,,firstlight fiber
The grants,,,,firstlight fiber
fiber,,,,firstlight fiber
rural communities,,,,firstlight fiber
Neal-Graves,,,,firstlight fiber
the Colorado Broadband Office,,,,firstlight fiber
The CBO,,,,firstlight fiber
providers,,,,firstlight fiber
the state,,,,firstlight fiber
a semiannual data-collection cycle,,,,firstlight fiber
maps,,,,firstlight fiber
broadband data,,,,firstlight fiber
the Public Land Survey System's quarter-quarter-section,,,,firstlight fiber
40-acre) format,,,,firstlight fiber
more granular analysis,,,,firstlight fiber
the FCC's Form 477 data,,,,firstlight fiber
the census block,,,,firstlight fiber
This data,,,,firstlight fiber
the board,,,,firstlight fiber
challenges,,,,firstlight fiber
applications,,,,firstlight fiber
Colorado,,,,firstlight fiber
NetNeutrality requirements,,,,firstlight fiber
Broadband Fund grant,,,,firstlight fiber
The requirements,,,,firstlight fiber
ISPs,,,,firstlight fiber
the principles,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
funding,,,,firstlight fiber
a state broadband fund,,,,firstlight fiber
the state Office,,,,firstlight fiber
Broadband Development,,,,firstlight fiber
OBD,,,,firstlight fiber
as much as half,,,,firstlight fiber
the cost,,,,firstlight fiber
a project,,,,firstlight fiber
areas,,,,firstlight fiber
wired broadband access,,,,firstlight fiber
OBD prioritizes projects,,,,firstlight fiber
strong community support.147Grant projects,,,,firstlight fiber
efforts,,,,firstlight fiber
local governments,,,,firstlight fiber
community groups,,,,firstlight fiber
broadband connectivity,,,,firstlight fiber
their area,,,,firstlight fiber
partnership,,,,firstlight fiber
a local provider,,,,firstlight fiber
Grant applications,,,,firstlight fiber
they,,,,firstlight fiber
a close partnership,,,,firstlight fiber
a provider,,,,firstlight fiber
a community,,,,firstlight fiber
matching funds,,,,firstlight fiber
broadband,,,,firstlight fiber
areas,,,,firstlight fiber
services,,,,firstlight fiber
more people,,,,firstlight fiber
a faster speed,,,,firstlight fiber
support economic development,,,,firstlight fiber
a greater number,,,,firstlight fiber
people.184,,,,firstlight fiber
WBO staff,,,,firstlight fiber
the applications,,,,firstlight fiber
briefing materials,,,,firstlight fiber
the commissioners,,,,firstlight fiber
 NetNeutrality,,,,firstlight fiber
the news,,,,firstlight fiber
Wednesday,,,,firstlight fiber
the FCC,,,,firstlight fiber
(FCC,,,,firstlight fiber
efforts,,,,firstlight fiber
Mozilla,,,,firstlight fiber
the company,,,,firstlight fiber
the Firefox web browser,,,,firstlight fiber
the commission's repeal,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
just another detour,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
An appeals court,,,,firstlight fiber
the FCC,,,,firstlight fiber
(FCC,,,,firstlight fiber
states,,,,firstlight fiber
their own NetNeutrality laws,,,,firstlight fiber
The House,,,,firstlight fiber
a measure,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
the law,,,,firstlight fiber
the land,,,,firstlight fiber
Democrats,,,,firstlight fiber
Wednesday,,,,firstlight fiber
a bill,,,,firstlight fiber
NetNeutrality laws,,,,firstlight fiber
the Trump administration,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
itself,,,,firstlight fiber
another fork,,,,firstlight fiber
the road,,,,firstlight fiber
the weekend,,,,firstlight fiber
the Texas State House,,,,firstlight fiber
Representatives,,,,firstlight fiber
a bill,,,,firstlight fiber
A federal appeals court,,,,firstlight fiber
the FCC,,,,firstlight fiber
request,,,,firstlight fiber
a court hearing,,,,firstlight fiber
its decision,,,,firstlight fiber
NetNeutrali,,,,firstlight fiber
AT&T chairman,,,,firstlight fiber
CEO Randall Stephenson,,,,firstlight fiber
a politically-divided Congress,,,,firstlight fiber
legislation,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
The Supreme Court,,,,firstlight fiber
Monday,,,,firstlight fiber
it,,,,firstlight fiber
a series,,,,firstlight fiber
challenges,,,,firstlight fiber
telecom companies,,,,firstlight fiber
Obama-era NetNeutrality rules,,,,firstlight fiber
b,,,,firstlight fiber
The January 1 2019 start date,,,,firstlight fiber
California's NetNeutrality law,,,,firstlight fiber
hold,,,,firstlight fiber
us cogent google google fiber,,,,firstlight fiber
firstlight fiber comptel lsn lightspeed networks,,,,firstlight fiber
TitleII NetNeutrality fcc investment,,,,firstlight fiber
thirty helens,,,,firstlight fiber
Rob,,,,firstlight fiber
only hours,,,,firstlight fiber
the countdown,,,,firstlight fiber
tomorrow,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
everyone,,,,firstlight fiber
Silicon Valley,,,,firstlight fiber
Capitol Hill,,,,firstlight fiber
their last words,,,,firstlight fiber
Advocates,,,,firstlight fiber
a free Internet,,,,firstlight fiber
New York,,,,firstlight fiber
the country,,,,firstlight fiber
hastily-called meetings,,,,firstlight fiber
a move,,,,firstlight fiber
the FCC chairman,,,,firstlight fiber
“NetNeutrality,,,,firstlight fiber
some companies,,,,firstlight fiber
higher speeds,,,,firstlight fiber
higher prices,,,,firstlight fiber
The cost,,,,firstlight fiber
a block,,,,firstlight fiber
addresses,,,,firstlight fiber
more static IP addresses,,,,firstlight fiber
you,,,,firstlight fiber
We,,,,firstlight fiber
favorites,,,,firstlight fiber
we,,,,firstlight fiber
your speed,,,,firstlight fiber
We,,,,firstlight fiber
“fast lanes,,,,firstlight fiber
“slow lanes,,,,firstlight fiber
users,,,,firstlight fiber
services,,,,firstlight fiber
PaidPrioritization,,,,firstlight fiber
eight months,,,,firstlight fiber
the 111th Congress,,,,firstlight fiber
the first full-throated attempt,,,,firstlight fiber
NetNeutrality,,,,firstlight fiber
the law,,,,firstlight fiber
the land,,,,firstlight fiber
the House,,,,firstlight fiber
Markey,,,,firstlight fiber
his name,,,,firstlight fiber
NetNeutrality efforts,,,,firstlight fiber
the two previous Congresses,,,,firstlight fiber
NetNeutrality,,,,hurricane electric
anything,,,,hurricane electric
an ISP,,,,hurricane electric
NetNeutrality,,,,hurricane electric
you,,,,hurricane electric
internet access,,,,hurricane electric
your internet access,,,,hurricane electric
A lack,,,,hurricane electric
NetNeutrality,,,,hurricane electric
you,,,,hurricane electric
internet access,,,,hurricane electric
you,,,,hurricane electric
Netflix Net,,,,hurricane electric
NetNeutrality regulations,,,,hurricane electric
construction,,,,hurricane electric
high-speed internet lines,,,,hurricane electric
telephone and cable giants,,,,hurricane electric
