sentence,category,sentiment,predicted AS,search term
tens,,,,hurricane electric
billions,,,,hurricane electric
dollars,,,,hurricane electric
the other side,,,,hurricane electric
NetNeutrality,,,,hurricane electric
no-one,,,,hurricane electric
all the shitty overpriced applications,,,,hurricane electric
all the bits,,,,hurricane electric
a  bat,,,,hurricane electric
hell,,,,hurricane electric
I,,,,hurricane electric
the polar opposite,,,,hurricane electric
NetNeutrality,,,,hurricane electric
chilling effect,,,,hurricane electric
He,,,,hurricane electric
regulation,,,,hurricane electric
NetNeutralityNetNeutrality,,,,hurricane electric
definition,,,,hurricane electric
regulation,,,,hurricane electric
he,,,,hurricane electric
regulation,,,,hurricane electric
NetNeutrality,,,,hurricane electric
he,,,,hurricane electric
it,,,,hurricane electric
the internet,,,,hurricane electric
it,,,,hurricane electric
no incentive,,,,hurricane electric
them,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the same way,,,,hurricane electric
no incentive,,,,hurricane electric
corporations,,,,hurricane electric
they,,,,hurricane electric
He,,,,hurricane electric
regulation,,,,hurricane electric
NetNeutrality,,,,hurricane electric
NetNeutrality,,,,hurricane electric
definition,,,,hurricane electric
regulation,,,,hurricane electric
he,,,,hurricane electric
regulation,,,,hurricane electric
NetNeutrality,,,,hurricane electric
he,,,,hurricane electric
NetNeutrality,,,,hurricane electric
ISPs,,,,hurricane electric
Netflix,,,,hurricane electric
they,,,,hurricane electric
a monopoly,,,,hurricane electric
them,,,,hurricane electric
the local government,,,,hurricane electric
the repealed NetNeutrality rules,,,,hurricane electric
it,,,,hurricane electric
these small independent providers,,,,hurricane electric
What,,,,hurricane electric
they,,,,hurricane electric
badly?And ISPs,,,,hurricane electric
NetNeutrality,,,,hurricane electric
what,,,,hurricane electric
their customers,,,,hurricane electric
a perfect world,,,,hurricane electric
perfect information,,,,hurricane electric
it,,,,hurricane electric
the only way,,,,hurricane electric
NetNeutrality,,,,hurricane electric
NetNeutrality regulation,,,,hurricane electric
We,,,,hurricane electric
ISP,,,,hurricane electric
ISP,,,,hurricane electric
the brain,,,,hurricane electric
every manager,,,,hurricane electric
NetNeutrality,,,,hurricane electric
a bad idea,,,,hurricane electric
their walls,,,,hurricane electric
ISPs,,,,hurricane electric
NetNeutrality,,,,hurricane electric
what,,,,hurricane electric
their customers,,,,hurricane electric
a perfect world,,,,hurricane electric
perfect information,,,,hurricane electric
ISPs,,,,hurricane electric
NetNeutrality,,,,hurricane electric
what,,,,hurricane electric
their customers,,,,hurricane electric
it,,,,hurricane electric
the only way,,,,hurricane electric
NetNeutrality,,,,hurricane electric
NetNeutrality regulation,,,,hurricane electric
We,,,,hurricane electric
ISP,,,,hurricane electric
ISP,,,,hurricane electric
the brain,,,,hurricane electric
every manager,,,,hurricane electric
NetNeutrality,,,,hurricane electric
a bad idea,,,,hurricane electric
their walls,,,,hurricane electric
it,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the free market,,,,hurricane electric
it,,,,hurricane electric
NetNeutrality,,,,hurricane electric
a minimal fix,,,,hurricane electric
A lack,,,,hurricane electric
NetNeutrality,,,,hurricane electric
a problem,,,,hurricane electric
the past,,,,hurricane electric
it,,,,hurricane electric
a problem,,,,hurricane electric
NetNeutrality,,,,hurricane electric
everything,,,,hurricane electric
it,,,,hurricane electric
the past,,,,hurricane electric
any drastic changes,,,,hurricane electric
You,,,,hurricane electric
a stomach reduction surgery,,,,hurricane electric
a person,,,,hurricane electric
normal weight,,,,hurricane electric
they,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the extra food,,,,hurricane electric
they,,,,hurricane electric
they,,,,hurricane electric
some morbidly obese monster,,,,hurricane electric
NetNeutrality,,,,hurricane electric
everything,,,,hurricane electric
it,,,,hurricane electric
the past,,,,hurricane electric
any drastic changes,,,,hurricane electric
You,,,,hurricane electric
a stomach reduction surgery,,,,hurricane electric
a person,,,,hurricane electric
normal weight,,,,hurricane electric
they,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the extra food,,,,hurricane electric
they,,,,hurricane electric
they,,,,hurricane electric
some morbidly obese monster,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the extra food,,,,hurricane electric
they,,,,hurricane electric
they,,,,hurricane electric
some morbidly obese monster,,,,hurricane electric
NetNeutrality,,,,hurricane electric
surgery,,,,hurricane electric
people,,,,hurricane electric
a perfectly good system,,,,hurricane electric
it,,,,hurricane electric
regulations,,,,hurricane electric
harm,,,,hurricane electric
I,,,,hurricane electric
no idea,,,,hurricane electric
We,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the internet,,,,hurricane electric
itself,,,,hurricane electric
We,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the internet,,,,hurricane electric
itself,,,,hurricane electric
they,,,,hurricane electric
they,,,,hurricane electric
you,,,,hurricane electric
full-speed access,,,,hurricane electric
anything,,,,hurricane electric
they,,,,hurricane electric
you,,,,hurricane electric
"
The Title-II style",,,,hurricane electric
NetNeutrality,,,,hurricane electric
a lot,,,,hurricane electric
what,,,,hurricane electric
network-neutrality proponents,,,,hurricane electric
it,,,,hurricane electric
the Title-II style,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the breaking,,,,hurricane electric
the oligopoly,,,,hurricane electric
power,,,,hurricane electric
a feature,,,,hurricane electric
not a bug,,,,hurricane electric
the Title-II style,,,,hurricane electric
NetNeutrality,,,,hurricane electric
the breaking,,,,hurricane electric
the oligopoly,,,,hurricane electric
power marketers,,,,hurricane electric
"""aggregators",,,,hurricane electric
who,,,,hurricane electric
large blocks,,,,hurricane electric
energy,,,,hurricane electric
big industrial or commercial customers,,,,hurricane electric
Inverted rate,,,,hurricane electric
- An electrical rate structure,,,,hurricane electric
pricing,,,,hurricane electric
declining block rates,,,,hurricane electric
a higher rate,,,,hurricane electric
kilowatt-hour,,,,hurricane electric
consumption,,,,hurricane electric
Lifeline rate,,,,hurricane electric
An electrical rate structure,,,,hurricane electric
residential customers,,,,hurricane electric
an artificially low first block,,,,hurricane electric
Revenue deficiencies,,,,hurricane electric
this low first block,,,,hurricane electric
increased rates,,,,hurricane electric
the block,,,,hurricane electric
the consumer class,,,,hurricane electric
commercial and industrial classes,,,,hurricane electric
Neutral Conductor - Grounded Conductor,,,,hurricane electric
the grounding conductor,,,,hurricane electric
this conductor,,,,hurricane electric
the use,,,,hurricane electric
line,,,,hurricane electric
neutral loads,,,,hurricane electric
120 and 277 volt loads,,,,hurricane electric
a current-carrying conductor,,,,hurricane electric
any unbalanced currents,,,,hurricane electric
a low impedance path,,,,hurricane electric
the flow,,,,hurricane electric
the operation,,,,hurricane electric
the over-current protective devices,,,,hurricane electric
Our generators,,,,hurricane electric
a soft neutral color,,,,hurricane electric
any house color,,,,hurricane electric
This system,,,,hurricane electric
"""live"" and ground (neutral)
wires",,,,hurricane electric
parallel,,,,hurricane electric
the ground (neutral) wires,,,,hurricane electric
the fence,,,,hurricane electric
the ground,,,,hurricane electric
(neutral) wires,,,,hurricane electric
the fence,,,,hurricane electric
the main ground,,,,hurricane electric
insulated cable,,,,hurricane electric
cable,,,,hurricane electric
gateways,,,,hurricane electric
a cable,,,,hurricane electric
the ground (neutral) wires,,,,hurricane electric
The choke,,,,hurricane electric
a blocking effect,,,,hurricane electric
the extremely high voltages,,,,hurricane electric
lightning,,,,hurricane electric
The voltage,,,,hurricane electric
the choke,,,,hurricane electric
the arrestor,,,,hurricane electric
earth,,,,hurricane electric
Hot wires,,,,hurricane electric
grounded or neutral wires,,,,hurricane electric
part,,,,hurricane electric
the relationship,,,,hurricane electric
the hot and neutral conductors,,,,hurricane electric
John,,,,hurricane electric
the solar wings,,,,hurricane electric
the resultant smaller wing,,,,hurricane electric
a central neutral horizontal position,,,,hurricane electric
"a significantly
      smaller flat section",,,,hurricane electric
the wind,,,,hurricane electric
higher education,,,,internet2
NetNeutrality’s impending demise,,,,internet2
a similar stance,,,,internet2
NetNeutrality,,,,internet2
education,,,,internet2
the FCC,,,,internet2
it,,,,internet2
educators,,,,internet2
its preservation,,,,internet2
Internet2,,,,internet2
NetNeutrality,,,,internet2
national policy,,,,internet2
particular Internet2,,,,internet2
network traffic,,,,internet2
decisions,,,,internet2
content,,,,internet2
the network,,,,internet2
the network,,,,internet2
its connectors,,,,internet2
security reasons,,,,internet2
It,,,,internet2
American higher ed,,,,internet2
the end,,,,internet2
NetNeutrality,,,,internet2
It,,,,internet2
NetNeutrality,,,,internet2
a few days,,,,internet2
an article,,,,internet2
NetNeutrality browser experience,,,,internet2
What,,,,internet2
the reality,,,,internet2
political censorship,,,,internet2
ur,,,,internet2
-tubes/,,,,internet2
Pingback,,,,internet2
NetNeutrality,,,,internet2
educators,,,,internet2
the online world,,,,internet2
it,,,,internet2
the only thing,,,,internet2
the telecommunications companies,,,,internet2
a vast new revenue stream,,,,internet2
The new bill,,,,internet2
the summer,,,,internet2
all likelihood,,,,internet2
NetNeutrality,,,,internet2
the legal principle,,,,internet2
the Internet,,,,internet2
NetNeutrality,,,,internet2
it,,,,internet2
everything,,,,internet2
the Internet,,,,internet2
James Hilton associate provost,,,,internet2
the University,,,,internet2
Michigan,,,,internet2
Proponents,,,,internet2
NetNeutrality,,,,internet2
the principle,,,,internet2
the reason,,,,internet2
the Internet,,,,internet2
the corresponding online ecosystem,,,,internet2
the commercial and cultural phenomenon,,,,internet2
they,,,,internet2
all the talk,,,,internet2
equal access,,,,internet2
all data,,,,internet2
the NetNeutrality debate,,,,internet2
window dressing,,,,internet2
a less gentlemanly argument,,,,internet2
who,,,,internet2
the online economy,,,,internet2
Hilton,,,,internet2
other proponents,,,,internet2
NetNeutrality,,,,internet2
carriers,,,,internet2
the right,,,,internet2
traffic,,,,internet2
their networks,,,,internet2
telecommunications companies,,,,internet2
online kingmakers,,,,internet2
them,,,,internet2
the power,,,,internet2
who,,,,internet2
winners,,,,internet2
losers,,,,internet2
the rates,,,,internet2
they,,,,internet2
the speeds,,,,internet2
they,,,,internet2
a world,,,,internet2
NetNeutrality,,,,internet2
a wireless broadband provider,,,,internet2
a VoIP service,,,,internet2
Bell Canada,,,,internet2
VoIP,,,,internet2
other providers,,,,internet2
other high-bandwidth applications,,,,internet2
More generally NetNeutrality proponents,,,,internet2
changes,,,,internet2
the Internet,,,,internet2
architecture,,,,internet2
it,,,,internet2
the creation,,,,internet2
new application innovations,,,,internet2
such innovations,,,,internet2
e-mail Web browsers Ajax,,,,internet2
new search capabilities,,,,internet2
the Internet,,,,internet2
growth,,,,internet2
date,,,,internet2
network owners,,,,internet2
different standards,,,,internet2
problems proponents,,,,internet2
NetNeutrality,,,,internet2
the money,,,,internet2
progression,,,,internet2
draft legislation,,,,internet2
it,,,,internet2
NetNeutrality advocates,,,,internet2
contrast,,,,internet2
Microsoft,,,,internet2
the only proponent,,,,internet2
NetNeutrality,,,,internet2
a new Telecommunications Act,,,,internet2
progressively fewer protections,,,,internet2
NetNeutrality,,,,internet2
An early version,,,,internet2
the term,,,,internet2
a later version,,,,internet2
neutrality protection,,,,internet2
What,,,,internet2
NetNeutrality,,,,internet2
NetNeutrality,,,,internet2
the FCC,,,,internet2
recent release,,,,internet2
a NetNeutrality order,,,,internet2
the question,,,,internet2
NetNeutrality,,,,internet2
the best thing,,,,internet2
telehealth efforts,,,,internet2
http://www.site5.com/blog/internet-2/net-neutrality-and-web-hosting/20140522/,,,,internet2
the FCC,,,,zayo
approval,,,,zayo
the open-internet rules,,,,zayo
NetNeutrality,,,,zayo
the future,,,,zayo
the internet,,,,zayo
others,,,,zayo
Simultaneously a separate proposal,,,,zayo
a new NetNeutrality law,,,,zayo
Ting Internet,,,,zayo
the city,,,,zayo
Centennial,,,,zayo
gigabit internet,,,,zayo
residents,,,,zayo
its support,,,,zayo
NetNeutrality,,,,zayo
the state,,,,zayo
leading internet providers,,,,zayo
NetNeutrality,,,,zayo
the start,,,,zayo
Comcast,,,,zayo
an uproar,,,,zayo
it,,,,zayo
some wording,,,,zayo
its NetNeutrality protections,,,,zayo
deleting,,,,zayo
it,,,,zayo
fast lanes,,,,zayo
The company,,,,zayo
it,,,,zayo
no plans,,,,zayo
data,,,,zayo
lawful content,,,,zayo
we,,,,zayo
the entire text,,,,zayo
the FCC NetNeutrality order,,,,zayo
we,,,,zayo
the order,,,,zayo
our operations,,,,zayo
our customers,,,,zayo
the company,,,,zayo
Boulder-based Zayo Group,,,,zayo
internet,,,,zayo
buildings,,,,zayo
the globe,,,,zayo
the vote,,,,zayo
NetNeutrality,,,,zayo
its services,,,,zayo
an internet backbone provider,,,,zayo
FCC,,,,zayo
NetNeutrality rules,,,,zayo
#Internet,,,,zayo
Zayo,,,,zayo
a Tier 1 IP backbone,,,,zayo
44 carrier-neutral data centers,,,,zayo
addition,,,,zayo
high-capacity dark fiber wavelength Ethernet,,,,zayo
other connectivity solutions,,,,zayo
Zayo,,,,zayo
colocation and cloud infrastructure,,,,zayo
its carrier-neutral data centers,,,,zayo
both NetNeutrality advocates,,,,zayo
the telecom industry,,,,zayo
lawmakers,,,,zayo
Advocates,,,,zayo
a law,,,,zayo
NetNeutrality,,,,zayo
those same members,,,,zayo
the effort,,,,zayo
NetNeutrality,,,,zayo
We,,,,zayo
our network-neutral colocation and interconnection services,,,,zayo
our own datacenters,,,,zayo
major carrier hotels,,,,zayo
other strategic buildings,,,,zayo
45 locations,,,,zayo
the United States,,,,zayo
France,,,,zayo
more than 520000 square feet,,,,zayo
billable colocation space,,,,zayo
our facilities,,,,zayo
ample power,,,,zayo
customer,,,,zayo
backup power,,,,zayo
the form,,,,zayo
batteries,,,,zayo
generators,,,,zayo
modern fire suppression equipment,,,,zayo
24/7 security and equipment monitoring,,,,zayo
redundant cooling capabilities,,,,zayo
The first sub-service,,,,zayo
neutral space,,,,zayo
power,,,,zayo
a small cell location,,,,zayo
example,,,,zayo
a light pole,,,,zayo
a tower provider,,,,zayo
our zColo Strategic Product Group,,,,zayo
we,,,,zayo
network-neutral colocation and interconnection services,,,,zayo
45 datacenter facilities,,,,zayo
37 markets,,,,zayo
the United States,,,,zayo
France,,,,zayo
The components,,,,zayo
our NetNeutral colocation offering,,,,zayo
space power interconnection,,,,zayo
remote technical services,,,,zayo
a network-neutral provider,,,,zayo
colocation services,,,,zayo
we,,,,zayo
our customers,,,,zayo
interconnection services,,,,zayo
customers,,,,zayo
bandwidth,,,,zayo
separate networks,,,,zayo
fiber Ethernet,,,,zayo
SONET services,,,,zayo
addition,,,,zayo
we,,,,zayo
network-neutral space,,,,zayo
power,,,,zayo
wireless service providers,,,,zayo
their small cell antennas,,,,zayo
ancillary equipment,,,,zayo
Our management team,,,,zayo
substantial industry experience,,,,zayo
managing and designing fiber networks,,,,zayo
network-neutral colocation and interconnection facilities,,,,zayo
selling,,,,zayo
marketing,,,,zayo
bandwidth infrastructure services,,,,zayo
We,,,,zayo
price quality,,,,zayo
service network-neutrality breadth,,,,zayo
network connectivity options type,,,,zayo
quantity,,,,zayo
customers,,,,zayo
our datacenters,,,,zayo
location,,,,zayo
Delays,,,,zayo
required regulatory approvals,,,,zayo
approvals,,,,zayo
acquisitions,,,,zayo
financing activities,,,,zayo
interconnection agreements,,,,zayo
other carriers,,,,zayo
the enactment,,,,zayo
new and adverse international or domestic legislation,,,,zayo
regulations,,,,zayo
broadband initiatives,,,,zayo
net-neutrality,,,,zayo
the denial modification,,,,zayo
termination,,,,zayo
a regulator,,,,zayo
any approval,,,,zayo
authorization,,,,zayo
a material adverse effect,,,,zayo
our business,,,,zayo
We,,,,zayo
our network-neutral colocation and interconnection services,,,,zayo
"our own
datacenters",,,,zayo
major carrier hotels,,,,zayo
other strategic buildings,,,,zayo
27 locations,,,,zayo
the United States,,,,zayo
March,,,,zayo
more than 200000 square feet,,,,zayo
billable colocation space,,,,zayo
addition,,,,zayo
we,,,,zayo
network-neutral space,,,,zayo
power,,,,zayo
wireless service providers,,,,zayo
their small cell antennas,,,,zayo
ancillary equipment,,,,zayo
"Our 
 
  7 


Table",,,,zayo
"Contents



 
 
management team",,,,zayo
substantial industry experience,,,,zayo
managing and designing fiber networks,,,,zayo
network-neutral colocation and interconnection facilities,,,,zayo
selling,,,,zayo
marketing,,,,zayo
infrastructure services,,,,zayo
Delays,,,,zayo
required regulatory approvals,,,,zayo
approvals,,,,zayo
acquisitions,,,,zayo
financing activities,,,,zayo
interconnection agreements,,,,zayo
other carriers,,,,zayo
the enactment,,,,zayo
new and adverse international or domestic legislation,,,,zayo
regulations,,,,zayo
broadband initiatives,,,,zayo
net-neutrality,,,,zayo
the denial modification,,,,zayo
termination,,,,zayo
a regulator,,,,zayo
any approval,,,,zayo
authorization,,,,zayo
a material adverse effect,,,,zayo
our business,,,,zayo
AboveNet,,,,zayo
a provider,,,,zayo
bandwidth infrastructure,,,,zayo
network-neutral colocation and interconnection services,,,,zayo
large corporate enterprise clients,,,,zayo
communication carriers,,,,zayo
Fortune,,,,zayo
FTSE 500 companies,,,,zayo
the United States,,,,zayo
Europe,,,,zayo
We,,,,zayo
our network-neutral colocation and interconnection services,,,,zayo
our own datacenters,,,,zayo
major carrier hotels,,,,zayo
other strategic buildings,,,,zayo
27 locations,,,,zayo
the United States,,,,zayo
March,,,,zayo
more than 200000 square feet,,,,zayo
billable colocation space,,,,zayo
We,,,,zayo
colocation facilities,,,,zayo
Austin Baltimore Chicago Cincinnati Cleveland Columbus Las Vegas Los Angeles Memphis Miami Nashville Phoenix Pittsburgh Minneapolis,,,,zayo
Washington D.C.,,,,zayo
our facilities,,,,zayo
ample power,,,,zayo
customer,,,,zayo
backup power,,,,zayo
the form,,,,zayo
batteries,,,,zayo
generators,,,,zayo
modern fire suppression equipment,,,,zayo
"24/7 security and equipment
monitoring",,,,zayo
redundant cooling capabilities,,,,zayo
The first sub-service,,,,zayo
"neutral
space",,,,zayo
power,,,,zayo
a small cell location,,,,zayo
example,,,,zayo
a light pole,,,,zayo
a tower provider,,,,zayo
our zColo Strategic Product Group,,,,zayo
we,,,,zayo
network-neutral colocation,,,,zayo
interconnection services,,,,zayo
27 datacenter facilities,,,,zayo
21 markets,,,,zayo
the United States,,,,zayo
"The
components",,,,zayo
our NetNeutral colocation offering,,,,zayo
space power interconnection,,,,zayo
remote technical services,,,,zayo
a network-neutral provider,,,,zayo
colocation services,,,,zayo
we,,,,zayo
our customers,,,,zayo
interconnection services,,,,zayo
customers,,,,zayo
bandwidth,,,,zayo
separate networks,,,,zayo
fiber Ethernet,,,,zayo
SONET services,,,,zayo
Our management team,,,,zayo
substantial industry experience,,,,zayo
managing and designing fiber networks,,,,zayo
network-neutral colocation and interconnection facilities,,,,zayo
selling,,,,zayo
marketing,,,,zayo
bandwidth infrastructure services,,,,zayo
We,,,,zayo
price quality,,,,zayo
service network-neutrality breadth,,,,zayo
network connectivity options type,,,,zayo
quantity,,,,zayo
customers,,,,zayo
our datacenters,,,,zayo
location,,,,zayo
connection,,,,zayo
certain business combinations,,,,zayo
the Company,,,,zayo
assets,,,,zayo
products,,,,zayo
"the
Company",,,,zayo
primary focus,,,,zayo
bandwidth infrastructure,,,,zayo
NetNeutral colocation services,,,,zayo
FASB,,,,zayo
a fair value hierarchy,,,,zayo
prioritizes,,,,zayo
fair value measurement techniques,,,,zayo
three broad levels,,,,zayo
"Level 1:
 
Observable",,,,zayo
quoted prices,,,,zayo
identical assets,,,,zayo
liabilities,,,,zayo
active markets,,,,zayo
FASB,,,,zayo
a fair value hierarchy,,,,zayo
prioritizes,,,,zayo
fair value,,,,zayo
measurement techniques,,,,zayo
three broad levels,,,,zayo
Level,,,,zayo
Observable inputs,,,,zayo
quoted prices,,,,zayo
identical assets,,,,zayo
liabilities,,,,zayo
active markets,,,,zayo
"

Table",,,,zayo
"Contents



 
 
management team",,,,zayo
substantial industry experience,,,,zayo
managing and designing fiber networks,,,,zayo
network-neutral colocation and interconnection facilities,,,,zayo
selling,,,,zayo
marketing,,,,zayo
infrastructure services,,,,zayo
"
management team",,,,zayo
substantial industry experience,,,,zayo
managing and designing fiber networks,,,,zayo
network-neutral colocation and interconnection facilities,,,,zayo
selling,,,,zayo
marketing,,,,zayo
infrastructure services,,,,zayo
FASB,,,,zayo
a fair value hierarchy,,,,zayo
prioritizes,,,,zayo
fair value measurement techniques,,,,zayo
three broad levels,,,,zayo
FASB,,,,zayo
a fair value hierarchy,,,,zayo
prioritizes,,,,zayo
fair value,,,,zayo
measurement techniques,,,,zayo
three broad levels,,,,zayo
only one or two options,,,,zayo
high-speed broadband,,,,zayo
most places,,,,zayo
no options,,,,zayo
rural areas,,,,zayo
consumers,,,,zayo
little ability,,,,zayo
routine price hikes,,,,zayo
data caps overage,,,,zayo
the erosion,,,,zayo
NetNeutrality,,,,zayo
weak privacy protections,,,,zayo
Zayo,,,,zayo
a Tier 1 IP Backbone,,,,zayo
51 carrier-neutral data centers,,,,zayo
California,,,,NYSERNET
the gold standard,,,,NYSERNET
what states,,,,NYSERNET
NetNeutrality,,,,NYSERNET
a model law,,,,NYSERNET
other states,,,,NYSERNET
the job,,,,NYSERNET
any legislator,,,,NYSERNET
NetNeutrality,,,,NYSERNET
State Senator Kevin Parker,,,,NYSERNET
the Senate Telecommunications Chairman,,,,NYSERNET
S.,,,,NYSERNET
legislation,,,,NYSERNET
critical NetNeutrality issues,,,,NYSERNET
zero rating,,,,NYSERNET
it,,,,NYSERNET
PaidPrioritization,,,,NYSERNET
Internet Service Providers,,,,NYSERNET
ISPs,,,,NYSERNET
The FCC,,,,NYSERNET
the final days,,,,NYSERNET
the repeal effort,,,,NYSERNET
NetNeutrality,,,,NYSERNET
extraordinary steps,,,,NYSERNET
investigations,,,,NYSERNET
ISP practices,,,,NYSERNET
government findings,,,,NYSERNET
the zero-rating practices,,,,NYSERNET
AT&T,,,,NYSERNET
fact,,,,NYSERNET
the 2015 OpenInternet Order,,,,NYSERNET
the fight,,,,NYSERNET
NetNeutrality,,,,NYSERNET
California organizations,,,,NYSERNET
the interest,,,,NYSERNET
low-income people,,,,NYSERNET
low-income users,,,,NYSERNET
zero-rating protections,,,,NYSERNET
the law,,,,NYSERNET
hopes,,,,NYSERNET
their anti-competitive conduct,,,,NYSERNET
AT&T,,,,NYSERNET
phony studies,,,,NYSERNET
zero rating,,,,NYSERNET
people,,,,NYSERNET
senior citizens,,,,NYSERNET
rising phone bills,,,,NYSERNET
the state,,,,NYSERNET
NetNeutrality,,,,NYSERNET
S.,,,,NYSERNET
ISPs,,,,NYSERNET
the right,,,,NYSERNET
PaidPrioritization,,,,NYSERNET
the company,,,,NYSERNET
it,,,,NYSERNET
Internet users,,,,NYSERNET
It,,,,NYSERNET
the senator,,,,NYSERNET
the myths,,,,NYSERNET
ISPs,,,,NYSERNET
favor,,,,NYSERNET
PaidPrioritization,,,,NYSERNET
claims,,,,NYSERNET
it,,,,NYSERNET
remote surgery,,,,NYSERNET
it,,,,NYSERNET
Content Delivery Networks,,,,NYSERNET
CDNs,,,,NYSERNET
the same thing,,,,NYSERNET
ISPs,,,,NYSERNET
We,,,,NYSERNET
these behaviors,,,,NYSERNET
S.,,,,NYSERNET
the state,,,,NYSERNET
New York,,,,NYSERNET
a real NetNeutrality bill,,,,NYSERNET
one,,,,NYSERNET
consumers,,,,NYSERNET
innovation,,,,NYSERNET
one,,,,NYSERNET
the interests,,,,NYSERNET
powerful incumbents,,,,NYSERNET
their pockets,,,,NYSERNET
NetNeutrality,,,,NYSERNET
the term,,,,NYSERNET
the concept,,,,NYSERNET
the Internet,,,,NYSERNET
all lawful content information applications,,,,NYSERNET
equipment,,,,NYSERNET
increasing concern,,,,NYSERNET
the owners,,,,NYSERNET
the local broadband connections,,,,NYSERNET
(usually either the cable or telephone company,,,,NYSERNET
certain Internet users,,,,NYSERNET
applications,,,,NYSERNET
order,,,,NYSERNET
an advantage,,,,NYSERNET
their own services,,,,NYSERNET
the owners,,,,NYSERNET
the local network,,,,NYSERNET
a legitimate right,,,,NYSERNET
traffic,,,,NYSERNET
their network,,,,NYSERNET
congestion viruses,,,,NYSERNET
network owners,,,,NYSERNET
traffic,,,,NYSERNET
the identity,,,,NYSERNET
the user,,,,NYSERNET
the type,,,,NYSERNET
application,,,,NYSERNET
their interests,,,,NYSERNET
The mixed ruling,,,,NYSERNET
the United States Court,,,,NYSERNET
Appeals,,,,NYSERNET
Columbia,,,,NYSERNET
debate,,,,NYSERNET
so-called NetNeutrality rules,,,,NYSERNET
state capitals,,,,NYSERNET
The rules,,,,NYSERNET
broadband internet providers,,,,NYSERNET
Comcast,,,,NYSERNET
AT&T,,,,NYSERNET
websites,,,,NYSERNET
higher-quality service,,,,NYSERNET
certain content,,,,NYSERNET
Mr. Pai,,,,NYSERNET
the decision,,,,NYSERNET
a victory,,,,NYSERNET
consumers,,,,NYSERNET
broadband deployment,,,,NYSERNET
OpenInternet,,,,NYSERNET
He,,,,NYSERNET
the commission,,,,NYSERNET
the “narrow issues,,,,NYSERNET
the court,,,,NYSERNET
the commission,,,,NYSERNET
Supporters,,,,NYSERNET
NetNeutrality rules,,,,NYSERNET
the repeal consumers,,,,NYSERNET
more difficulty,,,,NYSERNET
access,,,,NYSERNET
online content,,,,NYSERNET
start-ups,,,,NYSERNET
consumers,,,,NYSERNET
ruling,,,,NYSERNET
a major roadblock,,,,NYSERNET
California,,,,NYSERNET
the law,,,,NYSERNET
it,,,,NYSERNET
legal challenges,,,,NYSERNET
official,,,,NYSERNET
reporters,,,,NYSERNET
a phone call,,,,NYSERNET
the agency,,,,NYSERNET
the opinion,,,,NYSERNET
its ability,,,,NYSERNET
state and local regulations,,,,NYSERNET
the agency,,,,NYSERNET
the court,,,,NYSERNET
its efforts,,,,NYSERNET
Colo@32 NYSERNet's communications hub,,,,NYSERNET
32 Avenue,,,,NYSERNET
the Americas,,,,NYSERNET
Telx,,,,NYSERNET
third New York City-based data center,,,,NYSERNET
a carrier-neutral colocation facility,,,,NYSERNET
member networks,,,,NYSERNET
its dark fiber meet,,,,NYSERNET
Internet Service Providers,,,,NYSERNET
ISPs,,,,NYSERNET
other network service providers,,,,NYSERNET
SGF,,,,NYSERNET
neutral secure and open collocation and network facilities,,,,NYSERNET
member universities,,,,NYSERNET
global partners,,,,NYSERNET
a building block,,,,NYSERNET
standards-based federated network identity solutions,,,,NYSERNET
consumer and business users,,,,NYSERNET
secure web service transactions,,,,NYSERNET
Internet2,,,,NYSERNET
EDUCAUSE,,,,NYSERNET
a wide coalition,,,,NYSERNET
organizations,,,,NYSERNET
the founding Internet principle,,,,NYSERNET
“NetNeutrality,,,,NYSERNET
telecom reform legislation,,,,NYSERNET
FiberCo,,,,NYSERNET
Internet2 members,,,,NYSERNET
the essential building blocks,,,,NYSERNET
advanced networking infrastructure,,,,NYSERNET
